 ,"TITULAR
OIC","SECTOR
OIC",DEPENDENCIA / ENTIDAD,NOMBRE TITULAR,SECTOR,DECRETO DE CREACI‡N,ORGANIGRAMA AUTORIZADO,FECHA,Estatus RI en POE,Fecha de Publicaci¢n POE,ENLACE POE,COMENTARIOS,MANUAL DE REMUNERACIONES,Fecha de Publicaci¢n,ENLACE,
35,,,DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE CHIHUAHUA,LIC. MAR÷A EUGENIA GALVµN ANTILL‡N,Paraestatal,https://difchihuahua.gob.mx/Estatuto_Organico_DIF_ESTATAL.pdf,https://drive.google.com/file/d/1MWa7oyNw9n8mYd5T1qIb6mBI1MO82dJ-/view,Octubre 2024,PUBLICADO,06-dic-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-12/ANEXO%2098-2025%20ESTATUTO%20ORG%C3%81NICO%20DIF%20CHIHUAHUA.pdf,,,,,
36,,,EL COLEGIO DE CHIHUAHUA,DR. JUAN MIGUEL ORTA VêLEZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/119.pdf,https://drive.google.com/file/d/1p5ah4zAsK6Er3uXr7NgBSYxpB23L5tR9/view,Mayo 2024,PUBLICADO,28-jun-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-06/ANEXO%2052-2025%20ESTATUTO%20ORG%C3%81NICO%20COLEGIO%20CHIHUAHUA.pdf,,,,,
37,,,ESCUELA NORMAL SUPERIOR DEL ESTADO PROFESOR J. E. MEDRANO,MTRO. JULIO CêSAR L‡PEZ,Paraestatal,http://ensech.edu.mx/documentos/pdf/acuerdo%20creacion.pdf,"
https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ENSECH/ESTRUCTURA%20ENSECH.pdf",Mayo 2022,SIN PUBLICAR,,,,,,,
38,,,FIDEICOMISO DE PUENTES FRONTERIZOS,C.P. ROGELIO ANTONIO FERNµNDEZ IRIGOYEN,Paraestatal,https://drive.google.com/file/d/1JFyMPfZZIb2O2f51GIKwU27U-X9ye_YF/view,https://drive.google.com/file/d/12TLrVwY38inVKahOi0AN2pbwgfurNgTD/view,Abril 2024,SIN PUBLICAR,,,,,,,
39,,,FIDEICOMISO ESTATAL PARA EL FOMENTO DE LAS ACTIVIDADES PRODUCTIVAS EN EL ESTADO DE CHIHUAHUA,LIC. JUAN ROBERTO MART÷NEZ ARAIZA,Paraestatal,http://www.chihuahua.com.mx/Transparencia/Pdf/fideapech/Viaticos/Contrato%20fideicomiso%20y%20modificaciones.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/FIDEAPECH/ESTRUCTURA%20FIDEAPECH.pdf,Octubre 2019,PUBLICADO,12-jun-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_47-2021_estatuto_organico_del_fideicomiso_estatal_para_el_fomento_de_las_actividades_productivas_en_el_estado_de_chihuahua.pdf,,,,,
40,,,FOMENTO Y DESARROLLO ARTESANAL DEL ESTADO DE CHIHUAHUA,C. MIGUEL µNGEL MIRAMONTES SOLIS,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/decretos/archivosDecretos/6268.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/FODARCH/ESTRUCTURA%20FODARCH.pdf,Junio 2019,PUBLICADO,19-dic-20,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_102-2020_estatuto_de_fomento_y_desarrollo_artesanal__0.pdf,,,,,
41,,,INSTITUTO CHIHUAHUENSE DE EDUCACI‡N PARA LOS ADULTOS,LIC. MARTINA GABALD‡N HERNµNDEZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/127.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHEA/ESTRUCTURA%20ICHEA.pdf,Julio 2019,PUBLICADO,31-mar-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_26-2021_estatuto_organico_del_instituto_chihuahuense_de_educacion_para_los_adultos.pdf,,,,,
42,,,INSTITUTO CHIHUAHUENSE DE INFRAESTRUCTURA F÷SICA EDUCATIVA,LIC. RAÈL GARC÷A RU÷Z,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/131.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHIFE/ESTRUCTURA%20ICHIFE.pdf,Julio 2019,SIN PUBLICAR,,,,,,,
43,,,INSTITUTO CHIHUAHUENSE DE LA JUVENTUD,LIC. FERNANDA JAZM÷N MART÷NEZ QUINTERO,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/129.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHIJUV/ESTRUCTURA%20ICHIJUV.pdf,Junio 2023,PUBLICADO,07-ago-21,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_63-2020_estatuto_organico_del_instituto_chihuahuense_de_la_juventud.pdf,,,,,
44,,,INSTITUTO CHIHUAHUENSE DE LA MUJERES,LIC. NEYRA GEORGINA REGALADO GUTIêRREZ,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/130.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/ICHM/ESTRUCTURA%20ICHM.pdf,Junio 2019,PUBLICADO,10-ago-19,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_64-2019_reglamento_interior_de_las_mujeres.pdf,"Por la naturaleza del ente le corresponde tener Estatuto Org†nico de acuerdo a la Ley de Entidades Paraestatales, sin embargo, en su publicaci¢n se le denomina Reglamento Interior",,,,
45,,,INSTITUTO CHIHUAHUENSE DE SALUD,LIC. GILBERTO BAEZA MENDOZA,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/132.pdf,https://drive.google.com/file/d/1owpSMChQ6Kb7MSJGkhg8MzIv4wgqhdek/view,Abril 2024,PUBLICADO,11-sept-02,https://www.congresochihuahua2.gob.mx/biblioteca/reglamentos/archivosReglamentos/44.pdf,"El £ltimo organigrama autorizado por la SFP es de 2024, sin embargo no ha sido publicado por la dependencia en su p†gina de transparencia",,,,
46,,,INSTITUTO CHIHUAHUENSE DEL DEPORTE Y CULTURA F÷SICA,LIC. TANIA TEPORACA ROMERO DEL HIERRO,Paraestatal,http://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/149.pdf,https://drive.google.com/file/d/1Rhsg1rGtxdERDvws-lNFT_19l-3xmrtc/view,Enero 2025,SIN PUBLICAR,,,,,,,
47,,,INSTITUTO DE APOYO AL DESARROLLO TECNOL‡GICO,ING. SERGIO MANCINAS PE•A,Paraestatal,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/135.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Paraestatal/INADET/ESTRUCTURA%20INADET.pdf,Julio 2022,PUBLICADO,19-ene-22,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_06-2022_estatuto_organico_instituto_de_apoyo_al_desarrollo_tecnologico.pdf,,,,,
